id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
196823,Male,51,1,28.0,0,1-2 Year,Yes,54154.0,26.0,272,0
293262,Male,35,1,46.0,0,1-2 Year,No,22241.0,154.0,267,0
260666,Male,24,1,14.0,1,< 1 Year,No,16288.0,152.0,236,0
14316,Female,23,1,13.0,1,< 1 Year,No,28760.0,152.0,166,0
110941,Male,27,1,8.0,1,< 1 Year,No,24417.0,152.0,52,0
175516,Male,28,1,36.0,1,< 1 Year,No,32630.0,152.0,185,0
329621,Male,46,1,28.0,0,> 2 Years,Yes,85447.0,154.0,257,0
44292,Female,45,1,8.0,0,1-2 Year,Yes,2630.0,124.0,33,0
275608,Male,69,1,18.0,0,1-2 Year,Yes,33206.0,26.0,133,0
270457,Female,48,1,28.0,1,1-2 Year,No,29009.0,26.0,298,0
250407,Male,27,1,11.0,1,< 1 Year,No,52803.0,152.0,146,0
167142,Female,61,1,8.0,0,1-2 Year,No,78606.0,26.0,43,0
145724,Female,40,1,47.0,1,1-2 Year,No,22684.0,29.0,63,0
343655,Female,25,1,46.0,1,< 1 Year,No,29618.0,152.0,90,0
277890,Male,54,1,24.0,0,> 2 Years,Yes,31847.0,26.0,124,0
71366,Female,26,1,3.0,1,< 1 Year,No,25952.0,152.0,74,0
66319,Male,60,1,46.0,0,1-2 Year,Yes,26097.0,11.0,225,0
47532,Female,25,1,11.0,1,< 1 Year,No,38980.0,152.0,262,0
346078,Female,27,1,13.0,1,< 1 Year,No,25717.0,151.0,84,0
130388,Female,28,1,37.0,0,< 1 Year,Yes,29219.0,152.0,116,0
202521,Male,21,1,16.0,0,< 1 Year,No,16902.0,152.0,135,0
295904,Male,25,1,16.0,0,< 1 Year,Yes,24391.0,152.0,129,0
322433,Male,21,1,8.0,0,< 1 Year,No,53680.0,160.0,200,0
207772,Female,31,1,46.0,1,< 1 Year,No,21825.0,152.0,241,0
178226,Male,54,1,8.0,0,1-2 Year,Yes,42391.0,26.0,48,0
111444,Female,27,1,8.0,1,< 1 Year,No,59246.0,152.0,262,0
34460,Male,24,1,33.0,1,< 1 Year,No,30474.0,152.0,291,0
318855,Male,26,1,11.0,1,< 1 Year,No,32588.0,152.0,272,0
227537,Female,22,1,33.0,1,< 1 Year,No,23915.0,152.0,33,0
292432,Female,29,1,8.0,1,< 1 Year,No,48059.0,152.0,290,0
29963,Male,22,1,46.0,1,< 1 Year,No,31322.0,152.0,73,0
340567,Female,23,1,38.0,1,< 1 Year,No,41079.0,152.0,205,0
328612,Female,34,1,8.0,0,1-2 Year,Yes,51242.0,152.0,95,0
143822,Male,50,1,28.0,0,1-2 Year,Yes,37109.0,26.0,93,0
124358,Female,34,1,10.0,1,1-2 Year,No,24230.0,152.0,144,0
345526,Female,24,1,8.0,1,< 1 Year,No,47247.0,152.0,246,0
250572,Male,44,1,41.0,0,1-2 Year,No,21466.0,12.0,74,0
282379,Female,28,1,23.0,1,< 1 Year,No,18733.0,151.0,177,0
326133,Male,20,1,46.0,0,< 1 Year,Yes,19105.0,160.0,214,0
181186,Male,23,1,29.0,1,< 1 Year,No,25260.0,152.0,11,0
366701,Female,61,1,8.0,0,> 2 Years,Yes,49243.0,7.0,235,0
342553,Female,65,1,28.0,0,1-2 Year,Yes,58870.0,124.0,131,0
170533,Male,64,1,28.0,0,> 2 Years,Yes,46259.0,26.0,187,0
13878,Male,25,1,33.0,1,< 1 Year,No,24311.0,152.0,139,0
323097,Female,24,1,10.0,1,< 1 Year,No,27848.0,152.0,195,0
168978,Female,36,1,36.0,0,1-2 Year,Yes,31355.0,157.0,262,0
327473,Male,44,1,28.0,1,1-2 Year,No,2630.0,124.0,74,0
199409,Female,31,1,8.0,0,< 1 Year,Yes,28796.0,152.0,76,0
274296,Male,27,1,15.0,0,< 1 Year,Yes,2630.0,152.0,277,0
2098,Female,23,1,13.0,0,< 1 Year,No,32864.0,152.0,284,0
316539,Female,53,1,28.0,0,1-2 Year,Yes,42146.0,122.0,88,0
141669,Male,39,1,18.0,0,1-2 Year,Yes,24328.0,29.0,10,0
136638,Male,23,1,33.0,1,< 1 Year,No,34818.0,152.0,297,0
189859,Female,25,1,11.0,1,< 1 Year,No,18046.0,152.0,10,0
19657,Male,41,1,24.0,0,1-2 Year,Yes,2630.0,124.0,64,0
126194,Female,27,1,8.0,1,< 1 Year,No,38439.0,160.0,209,0
20905,Male,48,1,18.0,0,1-2 Year,Yes,37807.0,26.0,175,0
232618,Male,28,1,28.0,0,1-2 Year,Yes,38614.0,124.0,176,0
207353,Female,72,1,30.0,0,1-2 Year,Yes,30940.0,26.0,82,0
150449,Female,28,1,41.0,1,< 1 Year,No,27844.0,152.0,206,0
120829,Male,47,1,28.0,0,1-2 Year,Yes,57968.0,124.0,131,0
199991,Female,22,1,44.0,0,< 1 Year,Yes,2630.0,160.0,36,0
266748,Female,83,1,28.0,1,1-2 Year,No,44113.0,124.0,258,0
374342,Female,24,1,9.0,1,< 1 Year,No,2630.0,152.0,244,0
150416,Male,71,1,28.0,1,1-2 Year,Yes,48840.0,26.0,188,0
76673,Male,44,1,3.0,1,1-2 Year,No,27904.0,124.0,36,0
132706,Male,55,1,18.0,0,1-2 Year,Yes,35377.0,26.0,235,0
379207,Male,28,1,30.0,1,< 1 Year,No,25565.0,152.0,64,0
121855,Female,24,1,28.0,1,< 1 Year,No,30704.0,152.0,150,0
357951,Male,24,1,13.0,1,< 1 Year,No,19440.0,152.0,161,0
121666,Female,25,1,43.0,0,< 1 Year,No,2630.0,152.0,185,0
174935,Male,29,1,3.0,0,1-2 Year,Yes,2630.0,124.0,186,0
111129,Female,25,1,14.0,1,< 1 Year,No,21471.0,152.0,33,0
370597,Female,23,1,11.0,0,< 1 Year,Yes,25346.0,152.0,233,0
346632,Male,61,1,18.0,1,1-2 Year,Yes,2630.0,157.0,125,0
257370,Male,75,1,39.0,1,1-2 Year,No,40261.0,26.0,290,0
242723,Male,52,1,28.0,0,1-2 Year,Yes,40403.0,124.0,213,0
104763,Male,76,1,28.0,1,1-2 Year,No,24417.0,124.0,173,0
78537,Male,43,1,48.0,0,1-2 Year,Yes,2630.0,124.0,241,0
210582,Male,24,1,28.0,0,< 1 Year,Yes,90123.0,26.0,292,0
90580,Male,38,1,28.0,1,1-2 Year,No,31242.0,125.0,287,0
165906,Male,25,1,43.0,0,< 1 Year,Yes,22563.0,160.0,267,0
144423,Female,30,1,28.0,0,< 1 Year,Yes,2630.0,156.0,129,0
110343,Female,32,1,28.0,1,< 1 Year,No,40606.0,152.0,148,0
311249,Male,29,1,18.0,0,< 1 Year,Yes,29307.0,152.0,91,0
233975,Male,59,1,12.0,1,1-2 Year,No,27299.0,26.0,138,0
230649,Male,26,1,17.0,1,< 1 Year,No,29431.0,152.0,216,0
32181,Female,79,1,48.0,0,1-2 Year,Yes,2630.0,26.0,111,0
130601,Male,56,1,24.0,1,1-2 Year,No,35837.0,124.0,175,0
334189,Male,49,1,41.0,1,1-2 Year,No,32307.0,109.0,142,0
355891,Female,20,1,35.0,0,< 1 Year,Yes,2630.0,157.0,170,0
318850,Female,33,1,37.0,1,1-2 Year,No,35357.0,128.0,134,0
290732,Female,69,0,35.0,1,1-2 Year,No,28731.0,26.0,143,0
80730,Female,27,1,7.0,0,< 1 Year,No,35994.0,152.0,115,0
280857,Male,21,1,37.0,0,< 1 Year,No,45391.0,152.0,173,0
301891,Male,27,1,14.0,1,< 1 Year,No,24868.0,152.0,145,0
300563,Male,24,1,6.0,1,< 1 Year,No,19420.0,152.0,256,0
346361,Male,61,1,0.0,0,1-2 Year,Yes,2630.0,122.0,114,0
364010,Female,21,1,9.0,1,< 1 Year,No,2630.0,160.0,157,0
28780,Female,29,1,33.0,1,< 1 Year,No,32974.0,152.0,227,0
72858,Male,33,1,6.0,1,< 1 Year,No,20483.0,152.0,207,0
115726,Female,24,1,8.0,1,< 1 Year,No,22622.0,160.0,24,0
106099,Male,27,1,28.0,1,< 1 Year,No,69879.0,152.0,41,0
100828,Male,53,1,36.0,0,1-2 Year,No,54203.0,26.0,76,0
181389,Male,33,1,2.0,0,1-2 Year,Yes,20849.0,124.0,155,0
281185,Female,24,1,6.0,1,< 1 Year,No,15998.0,152.0,191,0
94777,Female,26,1,29.0,1,< 1 Year,No,45635.0,152.0,243,0
170960,Male,63,1,28.0,0,> 2 Years,Yes,35525.0,26.0,293,0
363083,Male,55,1,46.0,0,1-2 Year,Yes,2630.0,155.0,216,0
249719,Male,40,1,30.0,0,1-2 Year,Yes,2630.0,156.0,120,0
292545,Male,70,1,28.0,0,1-2 Year,Yes,33693.0,122.0,62,0
366956,Female,37,1,43.0,0,1-2 Year,Yes,50314.0,157.0,41,0
86731,Male,30,1,12.0,1,< 1 Year,No,26763.0,152.0,23,0
30482,Female,25,1,11.0,1,< 1 Year,No,35679.0,152.0,136,0
290880,Male,36,1,28.0,0,1-2 Year,Yes,36691.0,124.0,143,0
210514,Male,23,1,15.0,1,< 1 Year,No,27143.0,152.0,50,0
70155,Male,63,1,8.0,0,1-2 Year,Yes,2630.0,26.0,270,0
112765,Male,39,1,45.0,1,1-2 Year,No,22416.0,107.0,252,0
9938,Male,22,1,41.0,0,< 1 Year,No,47034.0,152.0,277,0
234971,Male,60,1,28.0,1,1-2 Year,No,39013.0,124.0,166,0
282471,Male,26,1,8.0,1,< 1 Year,No,37484.0,152.0,235,0
282061,Male,23,1,15.0,1,< 1 Year,No,29158.0,152.0,49,0
8032,Male,22,1,15.0,0,< 1 Year,Yes,34814.0,152.0,270,0
202315,Male,42,1,28.0,0,> 2 Years,Yes,50589.0,26.0,110,0
45950,Female,23,1,7.0,1,< 1 Year,No,31169.0,152.0,14,0
42775,Male,48,1,39.0,0,1-2 Year,Yes,39839.0,26.0,14,0
126946,Female,60,1,48.0,1,1-2 Year,No,2630.0,124.0,44,0
261824,Male,21,1,36.0,0,< 1 Year,Yes,2630.0,159.0,152,0
101239,Female,25,1,28.0,0,< 1 Year,No,34424.0,152.0,59,0
348311,Female,27,1,30.0,1,< 1 Year,No,34895.0,152.0,163,0
208178,Male,24,1,14.0,1,< 1 Year,No,29703.0,152.0,35,0
292985,Male,46,1,28.0,0,1-2 Year,Yes,31054.0,26.0,20,0
351497,Female,46,1,50.0,1,1-2 Year,No,23285.0,124.0,288,0
295219,Female,20,1,3.0,0,< 1 Year,Yes,30212.0,160.0,53,0
208149,Female,68,1,45.0,1,1-2 Year,No,27450.0,124.0,162,0
352455,Female,24,1,24.0,0,< 1 Year,Yes,19416.0,152.0,184,0
3652,Male,63,1,28.0,0,> 2 Years,Yes,59269.0,124.0,292,0
107581,Female,43,1,48.0,1,1-2 Year,No,2630.0,15.0,68,0
373264,Female,37,1,14.0,1,1-2 Year,No,21253.0,152.0,183,0
129447,Male,61,1,28.0,0,1-2 Year,Yes,46772.0,122.0,162,0
139557,Male,27,1,3.0,1,< 1 Year,No,41633.0,152.0,75,0
96985,Male,23,1,6.0,0,< 1 Year,Yes,50464.0,152.0,204,0
293942,Female,65,1,8.0,0,> 2 Years,Yes,39029.0,155.0,183,0
156711,Male,76,1,28.0,1,1-2 Year,No,45169.0,26.0,263,0
268683,Female,50,1,48.0,1,1-2 Year,No,2630.0,26.0,39,0
144050,Female,26,1,28.0,1,< 1 Year,No,31869.0,151.0,250,0
159649,Male,53,1,8.0,1,1-2 Year,No,36478.0,124.0,171,0
304819,Female,22,1,8.0,1,< 1 Year,No,41198.0,152.0,282,0
70491,Female,21,1,11.0,1,< 1 Year,No,30513.0,152.0,222,0
231402,Male,38,1,28.0,1,1-2 Year,No,68637.0,26.0,282,0
246105,Female,29,1,15.0,0,< 1 Year,Yes,30018.0,152.0,266,0
336261,Male,25,1,41.0,1,< 1 Year,No,36705.0,152.0,170,0
76097,Male,69,1,28.0,0,1-2 Year,Yes,40125.0,26.0,267,0
299016,Female,23,1,50.0,1,< 1 Year,No,27304.0,152.0,141,0
163438,Female,38,1,29.0,0,1-2 Year,Yes,31056.0,26.0,224,0
328543,Male,28,1,41.0,1,< 1 Year,No,32920.0,152.0,297,0
22256,Female,24,1,50.0,1,< 1 Year,No,48532.0,152.0,96,0
286271,Male,23,1,15.0,0,< 1 Year,No,38174.0,152.0,20,0
370302,Female,29,1,3.0,0,< 1 Year,Yes,27227.0,152.0,199,0
52623,Female,40,1,45.0,0,1-2 Year,Yes,2630.0,154.0,125,0
103642,Male,43,1,15.0,0,1-2 Year,Yes,2630.0,154.0,193,0
364604,Male,44,1,28.0,0,1-2 Year,Yes,33572.0,124.0,259,0
111764,Female,23,1,4.0,1,< 1 Year,No,34177.0,152.0,192,0
47253,Male,51,1,48.0,0,1-2 Year,Yes,2630.0,124.0,41,0
152598,Male,56,1,28.0,1,1-2 Year,No,53235.0,122.0,51,0
315447,Male,26,1,41.0,1,< 1 Year,No,28894.0,152.0,50,0
213724,Male,25,1,8.0,1,< 1 Year,No,40074.0,152.0,188,0
280571,Male,44,1,35.0,0,1-2 Year,Yes,21763.0,124.0,156,0
97782,Male,50,1,15.0,0,> 2 Years,Yes,29434.0,26.0,74,0
170308,Male,44,1,28.0,0,1-2 Year,Yes,45701.0,125.0,288,0
83676,Female,73,1,26.0,1,1-2 Year,No,32174.0,124.0,180,0
305919,Male,25,1,15.0,1,< 1 Year,No,30842.0,152.0,20,0
176959,Female,55,1,47.0,0,1-2 Year,Yes,37008.0,26.0,282,0
143160,Female,32,1,15.0,0,1-2 Year,Yes,35289.0,154.0,116,0
119519,Male,41,1,41.0,1,1-2 Year,No,2630.0,156.0,160,0
312611,Male,27,1,14.0,1,< 1 Year,No,28288.0,152.0,199,0
263733,Female,44,1,8.0,1,1-2 Year,No,37127.0,124.0,90,0
134953,Male,70,1,28.0,0,1-2 Year,Yes,2630.0,124.0,38,0
368080,Male,28,1,28.0,1,< 1 Year,No,57493.0,152.0,237,0
123016,Male,23,1,16.0,1,< 1 Year,No,28210.0,152.0,269,0
116681,Female,67,1,46.0,1,1-2 Year,Yes,35343.0,26.0,51,0
50949,Female,28,1,6.0,1,< 1 Year,No,24513.0,152.0,87,0
73204,Female,25,1,28.0,1,< 1 Year,No,55492.0,152.0,201,0
373452,Female,24,1,8.0,1,< 1 Year,No,33397.0,152.0,292,0
313811,Male,48,1,8.0,0,> 2 Years,Yes,40662.0,7.0,239,0
44982,Male,66,1,11.0,1,1-2 Year,No,2630.0,26.0,188,0
109048,Male,23,1,28.0,0,< 1 Year,No,37321.0,152.0,188,0
297803,Female,80,1,28.0,1,1-2 Year,No,40259.0,125.0,178,0
365216,Male,21,1,8.0,0,< 1 Year,Yes,49232.0,160.0,189,0
82524,Male,53,1,8.0,0,1-2 Year,Yes,32255.0,26.0,241,0
178420,Male,44,1,8.0,0,1-2 Year,Yes,36385.0,124.0,173,0
165636,Male,38,1,41.0,0,> 2 Years,Yes,2630.0,157.0,180,0
239011,Male,72,1,28.0,0,1-2 Year,Yes,64218.0,26.0,52,0
178868,Male,61,1,8.0,0,1-2 Year,Yes,36892.0,7.0,207,0
376678,Male,23,1,11.0,1,< 1 Year,No,27825.0,152.0,193,0
120047,Female,24,1,15.0,0,< 1 Year,Yes,35052.0,152.0,33,0
221104,Female,62,1,14.0,1,1-2 Year,No,34544.0,152.0,80,0
302979,Female,25,1,46.0,1,< 1 Year,No,25140.0,152.0,132,0
279041,Female,24,1,46.0,1,< 1 Year,No,2630.0,152.0,134,0
156300,Male,24,1,39.0,0,< 1 Year,No,40233.0,157.0,45,0
282302,Male,25,1,8.0,1,< 1 Year,No,33425.0,152.0,38,0
63758,Female,25,1,30.0,1,< 1 Year,No,19745.0,152.0,269,0
354551,Female,22,1,8.0,0,< 1 Year,Yes,35067.0,151.0,180,0
257382,Male,53,1,8.0,0,1-2 Year,Yes,31365.0,124.0,189,0
264939,Female,25,1,28.0,1,< 1 Year,No,76543.0,152.0,237,0
359033,Female,27,1,33.0,0,< 1 Year,Yes,2630.0,124.0,133,0
361617,Male,42,1,13.0,0,1-2 Year,Yes,2630.0,163.0,291,0
170649,Male,23,1,36.0,0,< 1 Year,No,37879.0,152.0,296,0
62127,Female,37,1,13.0,0,1-2 Year,Yes,25555.0,157.0,167,0
227063,Male,24,1,11.0,1,< 1 Year,No,27734.0,152.0,61,0
158879,Male,47,1,46.0,0,> 2 Years,Yes,33461.0,26.0,281,0
125644,Male,34,1,28.0,0,1-2 Year,Yes,2630.0,157.0,152,0
327130,Female,21,1,9.0,0,< 1 Year,Yes,29421.0,152.0,283,0
316358,Female,26,1,30.0,1,< 1 Year,No,29425.0,152.0,279,0
265901,Female,27,1,35.0,1,< 1 Year,No,26050.0,152.0,201,0
51646,Male,61,1,30.0,1,1-2 Year,No,2630.0,124.0,156,0
26500,Male,29,1,28.0,0,< 1 Year,Yes,37489.0,152.0,140,0
159321,Female,30,1,50.0,0,< 1 Year,Yes,2630.0,11.0,32,0
370511,Male,24,1,47.0,1,< 1 Year,No,28435.0,152.0,138,0
116415,Male,51,1,28.0,0,1-2 Year,Yes,43712.0,26.0,155,0
231866,Female,24,1,36.0,1,< 1 Year,No,33546.0,152.0,46,0
314886,Female,23,1,50.0,1,< 1 Year,No,36633.0,152.0,125,0
371795,Female,26,1,28.0,0,< 1 Year,Yes,2630.0,156.0,239,0
109278,Male,67,1,41.0,1,1-2 Year,No,44493.0,12.0,76,0
50920,Male,41,1,28.0,0,1-2 Year,No,24841.0,124.0,218,0
366733,Male,23,1,27.0,1,< 1 Year,No,20514.0,152.0,231,0
244793,Male,73,1,28.0,0,1-2 Year,Yes,30420.0,122.0,167,0
253915,Male,24,1,18.0,1,< 1 Year,No,32194.0,152.0,241,0
193608,Male,25,1,7.0,1,< 1 Year,No,2630.0,152.0,258,0
105360,Male,20,1,32.0,0,< 1 Year,Yes,35710.0,160.0,218,0
201442,Female,41,1,29.0,1,1-2 Year,No,2630.0,154.0,174,0
327891,Male,54,1,28.0,0,1-2 Year,Yes,41196.0,13.0,23,0
349473,Male,22,1,8.0,1,< 1 Year,No,51263.0,152.0,272,0
257089,Male,53,1,23.0,0,1-2 Year,Yes,34867.0,26.0,113,0
159671,Female,49,1,2.0,0,1-2 Year,No,2630.0,160.0,199,0
311884,Female,41,1,28.0,1,1-2 Year,No,2630.0,55.0,69,0
3450,Male,25,1,46.0,1,< 1 Year,No,30466.0,152.0,286,0
223535,Female,69,1,28.0,0,1-2 Year,Yes,36157.0,122.0,148,0
268485,Male,32,1,28.0,0,1-2 Year,Yes,24179.0,163.0,213,0
314140,Female,41,1,28.0,0,1-2 Year,Yes,32870.0,26.0,45,0
50524,Female,25,1,10.0,0,< 1 Year,Yes,2630.0,152.0,65,0
368427,Male,47,1,14.0,0,1-2 Year,Yes,2630.0,124.0,44,0
309231,Female,79,1,50.0,0,1-2 Year,No,2630.0,124.0,91,0
266874,Male,22,1,50.0,0,< 1 Year,Yes,2630.0,124.0,285,0
354848,Female,71,1,8.0,0,1-2 Year,Yes,56842.0,26.0,171,0
171703,Male,68,1,6.0,1,1-2 Year,No,29638.0,26.0,287,0
39252,Male,24,1,46.0,0,< 1 Year,No,29730.0,152.0,231,0
30082,Male,24,1,39.0,1,< 1 Year,No,39135.0,152.0,96,0
178822,Female,30,1,45.0,1,< 1 Year,No,2630.0,152.0,204,0
4813,Male,22,1,14.0,1,< 1 Year,No,30457.0,152.0,163,0
47897,Female,25,1,8.0,0,< 1 Year,Yes,40191.0,152.0,185,0
355376,Female,23,1,37.0,0,< 1 Year,No,29944.0,152.0,189,0
369401,Female,23,1,15.0,1,< 1 Year,No,27785.0,152.0,18,0
305539,Male,24,1,14.0,1,< 1 Year,No,27911.0,152.0,216,0
290833,Male,33,1,28.0,0,< 1 Year,Yes,51631.0,124.0,22,0
324039,Female,24,1,2.0,1,< 1 Year,No,28775.0,152.0,166,0
364403,Male,47,1,14.0,1,1-2 Year,No,2630.0,26.0,102,0
149594,Female,43,1,28.0,0,1-2 Year,Yes,33554.0,26.0,20,0
309131,Female,23,1,37.0,1,< 1 Year,No,22189.0,152.0,124,0
162009,Male,25,1,25.0,1,< 1 Year,No,50565.0,152.0,30,0
235491,Male,24,1,28.0,0,1-2 Year,Yes,33554.0,124.0,282,0
